"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Total US","","","3,272,319","4,854,051","","",NA,NA,NA,NA,NA,NA,NA,NA
"Int'l (partial; not counted in US total):","","","261,461","351,702","","",NA,NA,NA,NA,NA,NA,NA,NA
"Total Towns & Cities (US)","","","643","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Abilene","Texas","United States","200","200","","","Source 1",NA,NA,"Abilene, Texas","Abilene, Texas, United States",NA,NA,"http://www.reporternews.com/story/news/local/2017/01/21/hundreds-march-abilene-city-hall-womens-rights/96858224/"
"Accident","Maryland","United States","54","54","","","Source 1 :  Twitter; on-site witness ",NA,NA,"Accident, Maryland","Accident, Maryland, United States",NA,NA,NA
"Adak","Alaska","United States","10","10","","","Source 1 :  adn.com",NA,NA,"Adak, Alaska","Adak, Alaska, United States",NA,NA,NA
"Adrian","Michigan","United States","150","150","","","Source 1","Source 2",NA,"Adrian, Michigan","Adrian, Michigan, United States",NA,"http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader","http://www.lenconnect.com/news/20170122/marches-in-adrian-across-country-express-distaste-for-new-leader"
"Ajo","Arizona","United States","250","250","","","Source 1",NA,NA,"Ajo, Arizona","Ajo, Arizona, United States",NA,NA,"https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fwomenactnow%2Fposts%2F316622398732847&width=500"
"Alameda","California","United States","8","8","","","Source 1 :  FB",NA,NA,"Alameda, California","Alameda, California, United States",NA,NA,NA
"Alamosa","Colorado","United States","350","350","","","Source 1",NA,NA,"Alamosa, Colorado","Alamosa, Colorado, United States",NA,NA,"https://twitter.com/zepol/status/823234973935239172"
"Albany","California","United States","500","500","","","Source 1","Source 2 :  Albany PD (reported via google form)",NA,"Albany, California","Albany, California, United States",NA,NA,"https://twitter.com/ben_silverman/status/823032391841132545"
"Albany","New York","United States","7,000","9,000","","","Source 1","Source 2 :  FB",NA,"Albany, New York","Albany, New York, United States",NA,NA,"http://www.timesunion.com/local/article/Albany-activists-Inaugurate-Resistance-on-10873758.php"
"Alexandria","Virginia","United States","17","17","","","Source 1",NA,NA,"Alexandria, Virginia","Alexandria, Virginia, United States",NA,NA,"https://twitter.com/TinaPStacy/status/823226044643680257"
"Albuquerque","New Mexico","United States","3,000","15,000","","","Source 1","Source 2","Source 3","Albuquerque, New Mexico","Albuquerque, New Mexico, United States","https://twitter.com/AthertonKD/status/823215168423235584","https://twitter.com/PatDavisNM/status/822931494662389760","http://www.koat.com/article/thousands-fill-civic-plaza-for-womens-rally/8626736"
"Alliance","Nebraska","United States","100","150","","","Source 1 :  eyewtiness onsite w/ headcount",NA,NA,"Alliance, Nebraska","Alliance, Nebraska, United States",NA,NA,NA
"Almanor West","California","United States","4","4","","","Source 1 :  eyewitness; picture",NA,NA,"Almanor West, California","Almanor West, California, United States",NA,NA,NA
"Alpine","Texas","United States","96","96","","","Source 1",NA,NA,"Alpine, Texas","Alpine, Texas, United States",NA,NA,"https://twitter.com/sarahmvasquez/status/823189717659176960"
"Altoona","Pennsylvania","United States","","","","","Source 1",NA,NA,"Altoona, Pennsylvania","Altoona, Pennsylvania, United States",NA,NA,"http://www.wearecentralpa.com/news/folks-join-together-for-local-womens-march/643821533"
"Amarillo","Texas","United States","600","700","","","Source 1","Source 2",NA,"Amarillo, Texas","Amarillo, Texas, United States",NA,"http://www.myhighplains.com/news/hundreds-gather-for-womens-march-in-amarillo/643851067","https://www.texastribune.org/2017/01/21/thousands-expected-participate-texas-womens-marche/"
"Amelia Island","Florida","United States","700","1,367","","","Source 1","Source 2","Source 3","Amelia Island, Florida","Amelia Island, Florida, United States","http://www.ncflindependent.com/2017/01/21/standing-in-solidarity-with-the-womens-march-on-washington/","https://twitter.com/wideofthepost/status/823077871795261440","http://www.firstcoastnews.com/news/womens-march-makes-its-way-to-the-first-coast/389706372"
"Anacortes","Washington","United States","1,200","1,200","","1","Source 1",NA,NA,"Anacortes, Washington","Anacortes, Washington, United States",NA,NA,"http://www.goskagit.com/skagit/hundreds-participate-in-anacortes-women-s-march/article_4117590e-285b-565e-acd0-1ea4e7826160.html"
"Anchorage","Alaska","United States","2,000","3,500","","","Source 1","Source 2","Source 3","Anchorage, Alaska","Anchorage, Alaska, United States","http://www.ktuu.com/content/news/Thousands-of-Alaskans-show-up-for-Womens-March-in-Anchorage-411431025.html","https://twitter.com/julia_omalley/status/822905531316649984","https://www.adn.com/alaska-news/2017/01/21/large-crowd-attends-womens-march-on-anchorage-in-solidarity-with-national-events/"
"Angola","Indiana","United States","24","60","","","Source 1","Source 2",NA,"Angola, Indiana","Angola, Indiana, United States",NA,"http://kpcnews.com/news/latest/heraldrepublican/","http://wane.com/2017/01/21/womens-marches-in-allen-and-steuben-county-protest-trump/"
"Ann Arbor","Michigan","United States","11,000","11,000","","","Source 1",NA,NA,"Ann Arbor, Michigan","Ann Arbor, Michigan, United States",NA,NA,"http://www.mlive.com/news/ann-arbor/index.ssf/2017/01/more_than_6000_flood_streets_o.html"
"Annapolis","Maryland","United States","1,600","1,600","","","Source 1",NA,NA,"Annapolis, Maryland","Annapolis, Maryland, United States",NA,NA,"http://www.capitalgazette.com/news/annapolis/ph-ac-cn-annapolis-womens-march-0122-20170121-story.html"
"Annville","Pennsylvania","United States","30","30","","","Source 1","Source 2 :  onsite eyewitness via google form",NA,"Annville, Pennsylvania","Annville, Pennsylvania, United States",NA,NA,"http://www.ldnews.com/videos/news/2017/01/21/watch-voices-women's-march-annville/96901782/"
"Appleton","Wisconsin","United States","3","3","","","Source 1","Source 2",NA,"Appleton, Wisconsin","Appleton, Wisconsin, United States",NA,"http://www.postcrescent.com/story/news/local/2017/01/21/appleton-woman-stands-womens-march/96894178/","http://www.sheboyganpress.com/story/news/local/2017/01/21/appleton-woman-stands-womens-march/96894178/"
"Arden","Delaware","United States","40","50","","","Source 1 :  onsite ewewitness via google form; did headcount","Source 2 :  FB",NA,"Arden, Delaware","Arden, Delaware, United States",NA,NA,NA
"Arlington","Virginia","United States","","","","",NA,NA,NA,"Arlington, Virginia","Arlington, Virginia, United States",NA,NA,NA
"Asbury Park","New Jersey","United States","6,000","6,000","","","Source 1",NA,NA,"Asbury Park, New Jersey","Asbury Park, New Jersey, United States",NA,NA,"https://twitter.com/JuliaJHobbs/status/822955160116793344"
"Asheville","North Carolina","United States","7,000","10,000","","","Source 1","Source 2",NA,"Asheville, North Carolina","Asheville, North Carolina, United States",NA,"http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville","http://wlos.com/news/local/photo-gallery-the-womens-march-on-asheville"
"Ashland","Oregon","United States","15,000","15,000","","","Source 1",NA,NA,"Ashland, Oregon","Ashland, Oregon, United States",NA,NA,"http://www.oregonlive.com/trending/2017/01/womens_march_oregon_ashland_ph.html"
"Aspen","Colorado","United States","200","1,000","","","Source 1","Source 2",NA,"Aspen, Colorado","Aspen, Colorado, United States",NA,"https://twitter.com/SarahGoTrillIum/status/823018327316566016","http://www.aspendailynews.com/section/home/174009"
"Astoria","Oregon","United States","1,300","1,600","","","Source 1","Source 2",NA,"Astoria, Oregon","Astoria, Oregon, United States",NA,"http://www.kast1370.com/index.php?option=com_content&view=article&id=4381:millions-march-against-trump-policies&catid=17&Itemid=101","http://www.dailyastorian.com/Local_News/20170121/hundreds-march-in-astoria-to-counter-trump"
"Athens","Georgia","United States","700","5,000","","","Source 1","Source 2 :  FB",NA,"Athens, Georgia","Athens, Georgia, United States",NA,NA,"http://onlineathens.com/slideshow/2017-01-21/photos-athens-womens-march#slide-1"
"Athens","Ohio","United States","300","500","","","Source 1",NA,NA,"Athens, Ohio","Athens, Ohio, United States",NA,NA,"http://www.athensnews.com/news/local/hundreds-take-to-athens-streets-to-protest-trump-two-party/article_a05f8d96-a9cc-11e6-adc2-afe09ec722c0.html"
"Atlanta","Georgia","United States","60,000","63,000","","","Source 1","Source 2",NA,"Atlanta, Georgia","Atlanta, Georgia, United States",NA,"http://www.nbcnews.com/storyline/inauguration-2017/women-s-marches-held-around-world-solidarity-d-c-protest-n710331","http://www.ajc.com/news/state--regional-govt--politics/new-police-estimate-000-atlanta-the-march-continues-the-capitol/PlaULPX2mykkjcHk799zLP/"
